Code,QueryNodes,ResultSize
0,39 43 90 349 400 576,632
1,417 479 789 848 948 976,986
2,107 167 262 665 855 995,986
3,213 343 447 450 530 918,689
4,182 264 536 621 908 919,655
5,82 97 247 757 809 971,854
6,6 328 334 680 946 971,986
7,247 309 397 473 572 837,986
8,327 440 636 709 863 972,986
9,227 255 568 690 762 828,986
10,14 371 606 641 868 872,986
11,270 362 540 820 878 891,891
12,328 449 479 487 598 885,986
13,2 379 528 637 793 801,891
14,140 208 373 631 719 853,986
15,63 271 439 484 702 972,891
16,209 241 657 663 877 974,986
17,88 243 379 456 738 951,891
18,216 295 330 415 789 956,817
19,195 217 256 464 512 859,817
20,55 145 232 343 513 678,601
21,398 399 437 460 489 814,817
22,2 148 478 595 855 916,986
23,10 324 483 541 676 894,986
24,272 323 419 437 481 758,618
25,96 368 371 467 526 898,891
26,101 311 571 690 715 823,784
27,47 104 182 721 856 931,784
28,243 477 535 576 818 954,735
29,34 116 306 422 739 941,986
30,80 104 538 590 647 844,854
31,307 378 450 578 743 874,986
32,190 196 244 716 725 838,986
33,18 23 75 598 683 836,817
34,103 134 213 385 793 963,784
35,45 230 281 630 678 682,891
36,43 75 258 468 618 913,632
37,124 278 545 597 967 984,854
38,328 411 501 549 688 712,986
39,341 352 471 523 572 717,714
40,203 241 306 358 410 625,755
41,48 323 377 442 460 954,735
42,319 726 806 911 967 983,854
43,241 329 434 453 674 812,576
44,155 298 300 551 867 926,817
45,165 331 486 531 883 906,784
46,35 413 567 777 842 901,986
47,44 182 679 707 863 990,986
48,169 263 526 627 685 779,854
49,513 612 637 714 789 792,986
50,69 443 476 644 693 895,854
51,18 498 512 664 741 985,986
52,34 144 490 695 698 919,655
53,50 96 170 534 722 935,817
54,115 226 276 721 794 939,891
55,96 282 293 446 491 964,784
56,52 109 204 372 636 934,986
57,111 120 382 601 776 934,817
58,89 298 358 568 682 970,854
59,54 66 367 657 890 906,986
60,164 219 706 713 797 937,854
61,169 210 278 559 905 920,891
62,1 71 240 278 771 836,817
63,48 175 338 444 966 996,986
64,108 189 340 547 606 858,986
65,166 234 467 519 575 762,986
66,62 213 389 405 595 680,986
67,140 276 608 644 824 847,986
68,372 438 679 681 758 814,784
69,80 109 181 215 429 454,784
70,57 269 332 734 907 1000,755
71,120 168 476 482 701 919,986
72,283 366 383 496 592 833,784
73,181 215 603 685 723 804,986
74,108 447 535 758 788 851,986
75,12 57 308 402 773 981,986
76,73 164 213 433 735 888,986
77,146 261 406 501 828 908,601
78,49 162 434 447 801 979,891
79,95 298 410 659 875 904,986
80,34 41 171 456 464 659,986
81,343 479 597 842 850 934,891
82,171 183 194 269 575 789,671
83,301 584 602 817 895 934,854
84,236 238 332 625 698 768,755
85,80 135 305 473 499 624,655
86,192 229 264 527 775 974,986
87,100 486 512 564 717 849,817
88,251 324 332 547 572 873,891
89,5 117 268 438 866 968,891
90,77 236 277 379 488 931,655
91,302 460 552 774 848 914,986
92,143 308 312 497 543 968,891
93,5 238 326 330 437 1000,755
94,250 265 300 330 564 739,755
95,35 67 491 676 777 990,817
96,16 246 474 749 809 893,891
97,11 95 352 356 896 1002,986
98,38 52 103 111 243 638,714
99,154 228 284 374 439 516,854
100,101 233 362 384 429 783,735
101,11 230 659 771 896 938,986
102,168 217 226 292 374 393,552
103,147 288 335 395 457 698,527
104,272 314 449 554 721 917,986
105,59 115 229 249 335 983,854
106,36 106 740 785 881 992,986
107,57 170 410 745 781 874,854
108,82 221 245 582 748 895,854
109,65 406 542 681 783 807,755
110,176 337 349 414 713 999,986
111,82 122 466 735 910 957,986
112,56 234 593 665 775 977,986
113,157 270 662 687 784 892,986
114,31 94 129 174 336 656,655
