SimilarityPct,Similarity,BatchminPrecise_TimeSec,BatchminPrecise_UnionNodeCount,BatchminPrecise_TotalResultNodeCount,BatchminFast_TimeSec,BatchminFast_UnionNodeCount,BatchminFast_TotalResultNodeCount,GreedyLoop_TimeSec,GreedyLoop_UnionNodeCount,GreedyLoop_TotalResultNodeCount
0,0,0.037,20,128,0.036,20,400,8.48,35,237
10,0.1,1.066,33,180,1.031,32,348,8.48,35,237
20,0.2,1.987,33,181,1.969,33,289,8.48,35,237
30,0.3,2.018,33,175,2.003,33,262,8.48,35,237
40,0.4,2.005,33,175,1.991,33,262,8.48,35,237
50,0.5,2.946,36,235,2.941,36,323,8.48,35,237
60,0.6,3.865,36,235,3.879,36,308,8.48,35,237
70,0.7,4.837,35,238,4.808,35,289,8.48,35,237
80,0.8,5.723,35,238,5.699,35,282,8.48,35,237
90,0.9,6.683,35,238,6.722,35,260,8.48,35,237
SUMMARY,seed=123,query_group_count=20,query_size=6,sweep=0pct_to_90pct_step_10pct,query_builder=legacy,detail_precise=data\output\final\final_min_csp_simi_sweep_result_precise_detail.csv,detail_fast=data\output\final\final_min_csp_simi_sweep_result_fast_detail.csv,detail_greedy=data\output\final\final_min_csp_simi_sweep_result_greedy_loop_detail.csv
