SimilarityPct,Similarity,TimeSec,Code,QueryNodes,ResultSize,K,ComponentId
0,0,0.063,0,372 414 431 449 634 635,38,1,33
0,0,0.063,1,634 780 830 876 902 1002,38,1,33
0,0,0.063,2,70 372 433 594 634 830,38,1,33
0,0,0.063,3,449 561 622 712 830 876,38,1,33
0,0,0.063,4,75 134 248 372 603 830,38,1,33
0,0,0.063,5,372 414 433 594 603 876,38,1,33
0,0,0.063,6,449 561 620 634 876 916,38,1,33
0,0,0.063,7,372 414 433 449 594 603,38,1,33
0,0,0.063,8,436 603 830 876 897 910,38,1,33
0,0,0.063,9,248 372 433 449 594 603,38,1,33
0,0,0.063,10,603 634 763 876 902 945,38,1,33
0,0,0.063,11,372 414 431 452 603 830,38,1,33
0,0,0.063,12,372 414 433 449 634 635,38,1,33
0,0,0.063,13,70 372 452 594 603 830,38,1,33
0,0,0.063,14,449 603 750 824 876 891,38,1,33
0,0,0.063,15,248 372 594 634 635 876,38,1,33
0,0,0.063,16,449 603 634 713 915 958,38,1,33
0,0,0.063,17,70 372 594 634 635 876,38,1,33
0,0,0.063,18,449 634 637 838 876 1004,38,1,33
0,0,0.063,19,372 414 594 603 634 635,38,1,33
10,0.1,1.35,0,372 414 431 449 634 635,16,1,33
10,0.1,1.35,1,634 780 830 876 902 1002,61,1,33
10,0.1,1.35,2,70 372 433 594 634 830,16,1,33
10,0.1,1.35,3,449 561 622 712 830 876,61,1,33
10,0.1,1.35,4,75 134 248 372 603 830,16,1,33
10,0.1,1.35,5,372 414 433 594 603 876,16,1,33
10,0.1,1.35,6,449 561 620 634 876 916,61,1,33
10,0.1,1.35,7,372 414 433 449 594 603,16,1,33
10,0.1,1.35,8,436 603 830 876 897 910,61,1,33
10,0.1,1.35,9,248 372 433 449 594 603,16,1,33
10,0.1,1.35,10,603 634 763 876 902 945,61,1,33
10,0.1,1.35,11,372 414 431 452 603 830,16,1,33
10,0.1,1.35,12,372 414 433 449 634 635,16,1,33
10,0.1,1.35,13,70 372 452 594 603 830,16,1,33
10,0.1,1.35,14,449 603 750 824 876 891,61,1,33
10,0.1,1.35,15,248 372 594 634 635 876,16,1,33
10,0.1,1.35,16,449 603 634 713 915 958,61,1,33
10,0.1,1.35,17,70 372 594 634 635 876,16,1,33
10,0.1,1.35,18,449 634 637 838 876 1004,61,1,33
10,0.1,1.35,19,372 414 594 603 634 635,16,1,33
20,0.2,4.772,0,372 414 431 449 634 635,16,1,33
20,0.2,4.772,1,634 780 830 876 902 1002,40,1,33
20,0.2,4.772,2,70 372 433 594 634 830,16,1,33
20,0.2,4.772,3,449 561 622 712 830 876,29,1,33
20,0.2,4.772,4,75 134 248 372 603 830,16,1,33
20,0.2,4.772,5,372 414 433 594 603 876,16,1,33
20,0.2,4.772,6,449 561 620 634 876 916,40,1,33
20,0.2,4.772,7,372 414 433 449 594 603,16,1,33
20,0.2,4.772,8,436 603 830 876 897 910,29,1,33
20,0.2,4.772,9,248 372 433 449 594 603,16,1,33
20,0.2,4.772,10,603 634 763 876 902 945,40,1,33
20,0.2,4.772,11,372 414 431 452 603 830,16,1,33
20,0.2,4.772,12,372 414 433 449 634 635,16,1,33
20,0.2,4.772,13,70 372 452 594 603 830,16,1,33
