SimilarityPct,Similarity,TimeSec,Code,QueryNodes,ResultSize,K,ComponentId
-,-,8.977,0,372 414 431 449 634 635,6,1,-1
-,-,8.977,1,634 780 830 876 902 1002,17,1,-1
-,-,8.977,2,70 372 433 594 634 830,6,1,-1
-,-,8.977,3,449 561 622 712 830 876,19,1,-1
-,-,8.977,4,75 134 248 372 603 830,6,1,-1
-,-,8.977,5,372 414 433 594 603 876,6,1,-1
-,-,8.977,6,449 561 620 634 876 916,17,1,-1
-,-,8.977,7,372 414 433 449 594 603,6,1,-1
-,-,8.977,8,436 603 830 876 897 910,20,1,-1
-,-,8.977,9,248 372 433 449 594 603,6,1,-1
-,-,8.977,10,603 634 763 876 902 945,16,1,-1
-,-,8.977,11,372 414 431 452 603 830,6,1,-1
-,-,8.977,12,372 414 433 449 634 635,6,1,-1
-,-,8.977,13,70 372 452 594 603 830,6,1,-1
-,-,8.977,14,449 603 750 824 876 891,18,1,-1
-,-,8.977,15,248 372 594 634 635 876,6,1,-1
-,-,8.977,16,449 603 634 713 915 958,17,1,-1
-,-,8.977,17,70 372 594 634 635 876,6,1,-1
-,-,8.977,18,449 634 637 838 876 1004,21,1,-1
-,-,8.977,19,372 414 594 603 634 635,6,1,-1
