SimilarityPct,Similarity,TimeSec,Code,QueryNodes,ResultSize,K,ComponentId
0,0,0.056,0,372 414 431 449 634 635,7,1,33
0,0,0.056,1,634 780 830 876 902 1002,6,1,33
0,0,0.056,2,70 372 433 594 634 830,6,1,33
0,0,0.056,3,449 561 622 712 830 876,6,1,33
0,0,0.056,4,75 134 248 372 603 830,7,1,33
0,0,0.056,5,372 414 433 594 603 876,7,1,33
0,0,0.056,6,449 561 620 634 876 916,6,1,33
0,0,0.056,7,372 414 433 449 594 603,7,1,33
0,0,0.056,8,436 603 830 876 897 910,6,1,33
0,0,0.056,9,248 372 433 449 594 603,7,1,33
0,0,0.056,10,603 634 763 876 902 945,6,1,33
0,0,0.056,11,372 414 431 452 603 830,7,1,33
0,0,0.056,12,372 414 433 449 634 635,7,1,33
0,0,0.056,13,70 372 452 594 603 830,6,1,33
0,0,0.056,14,449 603 750 824 876 891,6,1,33
0,0,0.056,15,248 372 594 634 635 876,7,1,33
0,0,0.056,16,449 603 634 713 915 958,6,1,33
0,0,0.056,17,70 372 594 634 635 876,6,1,33
0,0,0.056,18,449 634 637 838 876 1004,6,1,33
0,0,0.056,19,372 414 594 603 634 635,7,1,33
10,0.1,1.464,0,372 414 431 449 634 635,7,1,33
10,0.1,1.464,1,634 780 830 876 902 1002,17,1,33
10,0.1,1.464,2,70 372 433 594 634 830,6,1,33
10,0.1,1.464,3,449 561 622 712 830 876,19,1,33
10,0.1,1.464,4,75 134 248 372 603 830,7,1,33
10,0.1,1.464,5,372 414 433 594 603 876,7,1,33
10,0.1,1.464,6,449 561 620 634 876 916,17,1,33
10,0.1,1.464,7,372 414 433 449 594 603,7,1,33
10,0.1,1.464,8,436 603 830 876 897 910,20,1,33
10,0.1,1.464,9,248 372 433 449 594 603,7,1,33
10,0.1,1.464,10,603 634 763 876 902 945,16,1,33
10,0.1,1.464,11,372 414 431 452 603 830,7,1,33
10,0.1,1.464,12,372 414 433 449 634 635,7,1,33
10,0.1,1.464,13,70 372 452 594 603 830,6,1,33
10,0.1,1.464,14,449 603 750 824 876 891,18,1,33
10,0.1,1.464,15,248 372 594 634 635 876,7,1,33
10,0.1,1.464,16,449 603 634 713 915 958,17,1,33
10,0.1,1.464,17,70 372 594 634 635 876,6,1,33
10,0.1,1.464,18,449 634 637 838 876 1004,21,1,33
10,0.1,1.464,19,372 414 594 603 634 635,7,1,33
20,0.2,4.86,0,372 414 431 449 634 635,7,1,33
20,0.2,4.86,1,634 780 830 876 902 1002,17,1,33
20,0.2,4.86,2,70 372 433 594 634 830,6,1,33
20,0.2,4.86,3,449 561 622 712 830 876,19,1,33
20,0.2,4.86,4,75 134 248 372 603 830,7,1,33
20,0.2,4.86,5,372 414 433 594 603 876,7,1,33
20,0.2,4.86,6,449 561 620 634 876 916,17,1,33
20,0.2,4.86,7,372 414 433 449 594 603,7,1,33
20,0.2,4.86,8,436 603 830 876 897 910,20,1,33
20,0.2,4.86,9,248 372 433 449 594 603,7,1,33
20,0.2,4.86,10,603 634 763 876 902 945,16,1,33
20,0.2,4.86,11,372 414 431 452 603 830,7,1,33
20,0.2,4.86,12,372 414 433 449 634 635,7,1,33
20,0.2,4.86,13,70 372 452 594 603 830,6,1,33
20,0.2,4.86,14,449 603 750 824 876 891,18,1,33
20,0.2,4.86,15,248 372 594 634 635 876,7,1,33
20,0.2,4.86,16,449 603 634 713 915 958,17,1,33
20,0.2,4.86,17,70 372 594 634 635 876,6,1,33
20,0.2,4.86,18,449 634 637 838 876 1004,21,1,33
20,0.2,4.86,19,372 414 594 603 634 635,7,1,33
30,0.3,7.224,0,372 414 431 449 634 635,7,1,33
30,0.3,7.224,1,634 780 830 876 902 1002,17,1,33
30,0.3,7.224,2,70 372 433 594 634 830,6,1,33
