Code,QueryNodes,ResultSize,K
0,351 372 479 543 632 663,854,3
1,186 418 592 617 965 993,986,1
2,158 200 361 590 806 850,891,2
3,107 194 352 387 454 770,986,1
4,23 47 326 590 716 843,986,1
5,51 190 416 444 512 768,854,3
6,104 415 418 461 489 934,817,4
7,238 241 611 738 849 984,854,3
8,50 206 427 515 589 843,891,2
9,611 729 764 806 871 935,986,1
10,0 131 135 142 723 766,854,3
11,126 232 377 692 734 983,891,2
12,574 589 738 793 882 997,891,2
13,59 499 625 756 957 966,891,2
14,55 88 131 154 264 911,854,3
15,57 393 594 636 773 1002,986,1
16,86 223 301 454 509 932,689,9
17,213 346 437 500 734 943,986,1
18,163 223 235 384 655 673,986,1
19,278 292 297 318 522 769,854,3
