Code,QueryNodes,ResultSize,K,ComponentId
0,372 414 449 634,15,1,33
1,75 372 634 876,15,1,33
2,414 449 603 876,6,1,33
3,414 449 603 876,6,1,33
4,414 603 830 876,6,1,33
5,372 452 603 830,15,1,33
6,414 449 603 830,6,1,33
7,372 414 449 876,15,1,33
8,414 449 603 634,6,1,33
9,372 431 449 876,15,1,33
10,372 414 603 876,15,1,33
11,634 825 830 876,19,1,33
12,414 449 603 830,6,1,33
13,634 830 876 901,19,1,33
14,414 603 634 830,6,1,33
15,372 564 603 876,15,1,33
16,372 414 603 876,15,1,33
17,372 603 634 635,15,1,33
18,372 431 603 634,15,1,33
19,372 603 634 635,15,1,33
20,414 449 830 876,6,1,33
21,414 603 830 876,6,1,33
22,372 414 603 876,15,1,33
23,372 449 564 876,15,1,33
24,414 449 634 876,6,1,33
25,414 603 830 876,6,1,33
26,414 449 603 830,6,1,33
27,372 449 452 830,15,1,33
28,414 603 634 830,6,1,33
29,372 452 830 876,15,1,33
30,414 449 634 830,6,1,33
31,372 433 449 876,15,1,33
32,414 449 634 830,6,1,33
33,372 452 634 830,15,1,33
34,372 414 449 876,15,1,33
35,414 449 603 634,6,1,33
36,414 603 830 876,6,1,33
37,70 372 603 876,15,1,33
38,414 449 603 830,6,1,33
39,414 603 634 876,6,1,33
40,414 603 634 876,6,1,33
41,414 449 634 830,6,1,33
42,414 449 634 876,6,1,33
43,414 449 634 830,6,1,33
44,414 449 634 830,6,1,33
45,414 449 603 830,6,1,33
46,372 433 449 876,15,1,33
47,414 449 603 634,6,1,33
48,372 564 830 876,15,1,33
49,414 449 634 876,6,1,33
50,414 449 830 876,6,1,33
51,414 449 634 830,6,1,33
52,414 449 830 876,6,1,33
53,414 603 634 876,6,1,33
54,372 414 449 876,15,1,33
55,372 449 452 830,15,1,33
56,372 449 452 830,15,1,33
57,372 414 449 634,15,1,33
58,372 414 449 830,15,1,33
59,414 449 634 876,6,1,33
60,372 431 634 830,15,1,33
61,372 452 830 876,15,1,33
62,634 795 830 876,19,1,33
63,75 372 634 830,15,1,33
64,372 431 449 830,15,1,33
65,414 449 603 876,6,1,33
66,414 603 634 830,6,1,33
67,372 634 635 830,15,1,33
68,372 414 603 830,15,1,33
69,414 449 830 876,6,1,33
70,134 372 603 830,15,1,33
71,372 564 830 876,15,1,33
72,414 603 830 876,6,1,33
73,372 452 830 876,15,1,33
74,372 603 634 635,15,1,33
75,372 414 449 876,15,1,33
76,414 449 603 876,6,1,33
77,372 452 634 830,15,1,33
78,414 449 634 830,6,1,33
79,414 603 830 876,6,1,33
80,372 564 634 876,15,1,33
81,372 414 603 876,15,1,33
82,372 431 830 876,15,1,33
83,372 414 449 634,15,1,33
84,414 449 603 876,6,1,33
85,634 760 830 876,19,1,33
86,414 449 603 876,6,1,33
87,372 634 635 830,15,1,33
88,414 449 603 634,6,1,33
89,372 414 449 603,15,1,33
90,414 603 634 830,6,1,33
91,372 414 449 830,15,1,33
92,414 603 634 876,6,1,33
93,70 372 449 830,15,1,33
94,414 449 634 830,6,1,33
95,414 603 634 830,6,1,33
96,414 603 634 830,6,1,33
97,414 603 634 876,6,1,33
98,372 452 634 830,15,1,33
99,414 449 634 876,6,1,33
