Code,QueryNodes,ResultSize,K,ComponentId
0,372 414 449 634,14,1,-1
1,75 372 634 876,4,1,-1
2,414 449 603 876,4,1,-1
3,414 449 603 876,4,1,-1
4,414 603 830 876,4,1,-1
5,372 452 603 830,15,1,-1
6,414 449 603 830,4,1,-1
7,372 414 449 876,11,1,-1
8,414 449 603 634,4,1,-1
9,372 431 449 876,4,1,-1
10,372 414 603 876,11,1,-1
11,634 825 830 876,12,1,-1
12,414 449 603 830,4,1,-1
13,634 830 876 901,12,1,-1
14,414 603 634 830,4,1,-1
15,372 564 603 876,11,1,-1
16,372 414 603 876,12,1,-1
17,372 603 634 635,14,1,-1
18,372 431 603 634,4,1,-1
19,372 603 634 635,14,1,-1
20,414 449 830 876,4,1,-1
21,414 603 830 876,4,1,-1
22,372 414 603 876,11,1,-1
23,372 449 564 876,12,1,-1
24,414 449 634 876,4,1,-1
25,414 603 830 876,4,1,-1
26,414 449 603 830,4,1,-1
27,372 449 452 830,15,1,-1
28,414 603 634 830,4,1,-1
29,372 452 830 876,11,1,-1
30,414 449 634 830,4,1,-1
31,372 433 449 876,4,1,-1
32,414 449 634 830,4,1,-1
33,372 452 634 830,11,1,-1
34,372 414 449 876,11,1,-1
35,414 449 603 634,4,1,-1
36,414 603 830 876,4,1,-1
37,70 372 603 876,4,1,-1
38,414 449 603 830,4,1,-1
39,414 603 634 876,4,1,-1
40,414 603 634 876,4,1,-1
41,414 449 634 830,4,1,-1
42,414 449 634 876,4,1,-1
43,414 449 634 830,4,1,-1
44,414 449 634 830,4,1,-1
45,414 449 603 830,4,1,-1
46,372 433 449 876,4,1,-1
47,414 449 603 634,4,1,-1
48,372 564 830 876,11,1,-1
49,414 449 634 876,4,1,-1
50,414 449 830 876,4,1,-1
51,414 449 634 830,4,1,-1
52,414 449 830 876,4,1,-1
53,414 603 634 876,4,1,-1
54,372 414 449 876,11,1,-1
55,372 449 452 830,15,1,-1
56,372 449 452 830,15,1,-1
57,372 414 449 634,14,1,-1
58,372 414 449 830,12,1,-1
59,414 449 634 876,4,1,-1
60,372 431 634 830,4,1,-1
61,372 452 830 876,11,1,-1
62,634 795 830 876,12,1,-1
63,75 372 634 830,4,1,-1
64,372 431 449 830,4,1,-1
65,414 449 603 876,4,1,-1
66,414 603 634 830,4,1,-1
67,372 634 635 830,11,1,-1
68,372 414 603 830,12,1,-1
69,414 449 830 876,4,1,-1
70,134 372 603 830,4,1,-1
71,372 564 830 876,11,1,-1
72,414 603 830 876,4,1,-1
73,372 452 830 876,11,1,-1
74,372 603 634 635,14,1,-1
75,372 414 449 876,11,1,-1
76,414 449 603 876,4,1,-1
77,372 452 634 830,11,1,-1
78,414 449 634 830,4,1,-1
79,414 603 830 876,4,1,-1
80,372 564 634 876,9,1,-1
81,372 414 603 876,12,1,-1
82,372 431 830 876,4,1,-1
83,372 414 449 634,14,1,-1
84,414 449 603 876,4,1,-1
85,634 760 830 876,13,1,-1
86,414 449 603 876,4,1,-1
87,372 634 635 830,11,1,-1
88,414 449 603 634,4,1,-1
89,372 414 449 603,9,1,-1
90,414 603 634 830,4,1,-1
91,372 414 449 830,12,1,-1
92,414 603 634 876,4,1,-1
93,70 372 449 830,4,1,-1
94,414 449 634 830,4,1,-1
95,414 603 634 830,4,1,-1
96,414 603 634 830,4,1,-1
97,414 603 634 876,4,1,-1
98,372 452 634 830,11,1,-1
99,414 449 634 876,4,1,-1
